model,assay,subset,mean,std
v0.3weighted_end,A0A247D711_LISMN,all,0.1899399413057809,0.004506696812033916
v0.3weighted_end,AICDA_HUMAN,all,-0.10768866328015897,0.010185858648032882
v0.3weighted_end,ARGR_ECOLI,all,0.36637673291469736,0.0054808431694536005
v0.3weighted_end,B2L11_HUMAN,all,0.269591451523643,0.04283145613016127
v0.3weighted_end,CCDB_ECOLI,all,0.1278443731683833,0.011447340946114831
v0.3weighted_end,DLG4_RAT,all,0.29617807888167336,0.005703815287662114
v0.3weighted_end,DN7A_SACS2,all,0.13568885987854595,0.00697262753230312
v0.3weighted_end,ENVZ_ECOLI,all,6.468145829771448e-05,0.0032450560234381217
v0.3weighted_end,ENV_HV1B9,all,0.2949798839526907,0.019518129484359357
v0.3weighted_end,ERBB2_HUMAN,all,-0.09987048268037156,0.008575305936880962
v0.3weighted_end,FKBP3_HUMAN,all,0.31186060428810586,0.008725270935622736
v0.3weighted_end,HCP_LAMBD,all,0.35560274798039304,0.00736847896725318
v0.3weighted_end,IF1_ECOLI,all,0.14439494240236808,0.006391831731782309
v0.3weighted_end,ILF3_HUMAN,all,0.2488742532053185,0.003314363664300613
v0.3weighted_end,OTU7A_HUMAN,all,0.19396860241477595,0.010876914216810592
v0.3weighted_end,PKN1_HUMAN,all,0.21556309444706487,0.0060793755642528
v0.3weighted_end,RS15_GEOSE,all,0.1906831757928094,0.006404088022204169
v0.3weighted_end,SBI_STAAM,all,0.4617561102944266,0.003221151683006299
v0.3weighted_end,SCIN_STAAR,all,0.20614851268992948,0.005357180011645217
v0.3weighted_end,SOX30_HUMAN,all,0.16460391675682784,0.00492194774521974
v0.3weighted_end,SQSTM_MOUSE,all,0.2252699827011521,0.008935543060834262
v0.3weighted_end,SUMO1_HUMAN,all,0.24601116273678705,0.00548094053219544
v0.3weighted_end,TAT_HV1BR,all,-0.05875608684019192,0.0055132823299750755
v0.3weighted_end,VG08_BPP22,all,0.07528069610855456,0.006358020169518915
v0.3weighted_end,VRPI_BPT7,all,0.3352910616682577,0.008039463244816464
v0.3weighted_end,CP2,all,0.01004772958985829,0.021907016903961653
v0.3weighted_end,CP2,naa,0.013560147426910493,0.031933352598028444
v0.3weighted_end,CP2,ncaa,0.04787095341205152,0.037700064874433996
v0.3weighted_end,PUMA,all,0.21447254881119057,0.003374927881573981
v0.3weighted_end,PUMA,naa,0.22070908347268667,0.0056772052969895495
v0.3weighted_end,PUMA,ncaa,0.2900083295715502,0.007430966741542341
