model,assay,subset,mean,std
v0.3ring_cont,A0A247D711_LISMN,all,0.15429761076108045,0.006837319250386927
v0.3ring_cont,AICDA_HUMAN,all,-0.0007887615463950006,0.015309857118123157
v0.3ring_cont,ARGR_ECOLI,all,0.3486962820603109,0.007018578019807243
v0.3ring_cont,B2L11_HUMAN,all,0.30808419749690424,0.023402279528796557
v0.3ring_cont,CCDB_ECOLI,all,0.13568484668222233,0.010611903884084496
v0.3ring_cont,DLG4_RAT,all,0.2779499366241696,0.0039609589516763945
v0.3ring_cont,DN7A_SACS2,all,0.1144321230271729,0.002721044197074082
v0.3ring_cont,ENVZ_ECOLI,all,-0.009985868800407641,0.00869266457756185
v0.3ring_cont,ENV_HV1B9,all,0.2894660897833198,0.014252247132571266
v0.3ring_cont,ERBB2_HUMAN,all,-0.11796186172016153,0.00868446669224334
v0.3ring_cont,FKBP3_HUMAN,all,0.2716302571168832,0.0030282200800826604
v0.3ring_cont,HCP_LAMBD,all,0.2985225672806621,0.006447587898652665
v0.3ring_cont,IF1_ECOLI,all,0.1412813049561048,0.008973298860451725
v0.3ring_cont,ILF3_HUMAN,all,0.1751985188632687,0.006678940896705547
v0.3ring_cont,OTU7A_HUMAN,all,0.1151080905031403,0.007139310517648804
v0.3ring_cont,PKN1_HUMAN,all,0.13593015747033044,0.009329042801229512
v0.3ring_cont,RS15_GEOSE,all,0.1307010086394323,0.004519549496246276
v0.3ring_cont,SBI_STAAM,all,0.3828023410510669,0.01387452919182565
v0.3ring_cont,SCIN_STAAR,all,0.11352769699473925,0.0061768010353776175
v0.3ring_cont,SOX30_HUMAN,all,0.0918289142813742,0.004283098895126813
v0.3ring_cont,SQSTM_MOUSE,all,0.15748876540373274,0.009904744506392208
v0.3ring_cont,SUMO1_HUMAN,all,0.26839954443723035,0.0067476380571074215
v0.3ring_cont,TAT_HV1BR,all,-0.06662592093462591,0.004206943364723621
v0.3ring_cont,VG08_BPP22,all,0.0026214240820473496,0.010940670749468874
v0.3ring_cont,VRPI_BPT7,all,0.3206738368560152,0.006566151712217564
v0.3ring_cont,CP2,all,0.1088097575728268,0.028665058183076374
v0.3ring_cont,CP2,naa,0.12739180804158362,0.03198284858597385
v0.3ring_cont,CP2,ncaa,0.18298079691558503,0.032859322464389155
v0.3ring_cont,PUMA,all,0.21526406359166064,0.011305134318759976
v0.3ring_cont,PUMA,naa,0.16385268362717476,0.0063620938376194565
v0.3ring_cont,PUMA,ncaa,0.3380113196563862,0.01810519581030928
